sickCd,sickNm,sickEngNm
A925,지카 바이러스 질환,Zika virus disease
A928,기타 명시된 모기매개바이러스열,Other specified mosquito-borne viral fevers
A929,상세불명의 모기매개바이러스열,"Mosquito-borne viral fever, unspecified"
A93,달리 분류되지 않은 기타 절지동물매개바이러스열,"Other arthropod-borne viral fevers, NEC"
A930,오로퓨스바이러스병,Oropouche virus disease
A931,모래파리열,Sandfly fever
A932,콜로라도진드기열,Colorado tick fever
A938,기타 명시된 절지동물매개바이러스열,Other specified arthropod-borne viral fevers
A94,상세불명의 절지동물매개 바이러스열,Unspecified arthropod-borne viral fever
A95,황열,Yellow fever
A950,삼림형황열,Sylvatic yellow fever
A951,도시형황열,Urban yellow fever
A959,상세불명의 황열,"Yellow fever, unspecified"
A96,아레나바이러스출혈열,Arenaviral haemorrhagic fever
A960,주닌출혈열,Junin haemorrhagic fever
A961,마추포출혈열,Machupo haemorrhagic fever
A962,라싸열,Lassa fever
A968,기타 아레나바이러스출혈열,Other arenaviral haemorrhagic fever
A969,상세불명의 아레나바이러스출혈열,"Arenaviral haemorrhagic fever, unspecified"
A97,뎅기,Dengue
A970,경고징후 없는 뎅기,Dengue without warning signs
A971,경고징후 있는 뎅기,Dengue with warning signs
A972,심한 뎅기,Severe Dengue
A979,상세불명의 뎅기열,"Dengue, unspecified"
A98,달리 분류되지 않은 기타 바이러스출혈열,"Other viral haemorrhagic fevers, NEC"
A980,크리미아-콩고출혈열,Crimean-congo haemorrhagic fever
A981,옴스크출혈열,Omsk haemorrhagic fever
A982,키야사나삼림병,Kyasanur forest disease
A983,마르부르그바이러스병,Marburg virus disease
A984,에볼라바이러스병,Ebola virus disease
A985,신장증후군을 동반한 출혈열,Haemorrhagic fever with renal syndrome
A988,기타 명시된 바이러스출혈열,Other specified viral haemorrhagic fevers
A99,상세불명의 바이러스출혈열,Unspecified viral haemorrhagic fever
B00,헤르페스바이러스[단순헤르페스] 감염,Herpesviral [herpes simplex] infections
B000,헤르페스습진,Eczema herpeticum
B001,헤르페스바이러스 소수포피부염,Herpesviral vesicular dermatitis
B002,헤르페스바이러스 치은구내염 및 인두편도염,Herpesviral gingivostomatitis and pharyngotonsillitis
B003,헤르페스바이러스수막염(G02.0*),Herpesviral meningitis(G02.0*)
B004,헤르페스바이러스뇌염(G05.1*),Herpesviral encephalitis(G05.1*)
B005,헤르페스바이러스눈병,Herpesviral ocular disease
B007,파종성 헤르페스바이러스병,Disseminated herpesviral disease
B008,기타 형태의 헤르페스바이러스감염,Other forms of herpesviral infection
B009,상세불명의 헤르페스바이러스감염,"Herpesviral infection, unspecified"
B01,수두,Varicella[chickenpox]
B010,수두수막염(G02.0*),Varicella meningitis(G02.0*)
B011,수두뇌염(G05.1*),Varicella encephalitis(G05.1*)
B012,수두폐렴(J17.1*),Varicella pneumonia(J17.1*)
B018,기타 합병증을 동반한 수두,Varicella with other complications
B019,합병증이 없는 수두,Varicella without complication
B02,대상포진,Zoster [herpes zoster]
B020,대상포진뇌염(G05.1*),Zoster encephalitis(G05.1*)
B021,대상포진수막염(G02.0*),Zoster meningitis(G02.0*)
B022,기타 신경계통 침범을 동반한 대상포진,Zoster with other nervous system involvement
B023,대상포진눈병,Zoster ocular disease
B027,파종성 대상포진,Disseminated zoster
B028,기타 합병증을 동반한 대상포진,Zoster with other complications
B029,합병증이 없는 대상포진,Zoster without complication
B03,마마,Smallpox
B04,엠폭스,Mpox
B05,홍역,Measles
B050,뇌염이 합병된 홍역(G05.1*),Measles complicated by encephalitis(G05.1*)
B051,수막염이 합병된 홍역(G02.0*),Measles complicated by meningitis(G02.0*)
B052,폐렴이 합병된 홍역(J17.1*),Measles complicated by pneumonia(J17.1*)
B053,중이염이 합병된 홍역(H67.1*),Measles complicated by otitis media(H67.1*)
B054,장합병증이 동반된 홍역,Measles with intestinal complications
B058,기타 합병증을 동반한 홍역,Measles with other complications
B059,합병증 없는 홍역,Measles without complication
B06,풍진,Rubella [German measles]
B060,신경학적 합병증을 동반한 풍진,Rubella with neurological complications
B068,기타 합병증을 동반한 풍진,Rubella with other complications
B069,합병증이 없는 풍진,Rubella without complication
B07,바이러스사마귀,Viral warts
B08,달리 분류되지 않은 피부 및 점막병변이 특징인 기타 바이러스감염,"Other viral infections characterized by skin and mucous membrane lesions, NEC"
B080,기타 오르토폭스바이러스감염,Other orthopoxvirus infections
B081,전염성 물렁종,Molluscum contagiosum
B082,돌발발진[제6병],Exanthema subitum [sixth disease]
B083,감염성 홍반[제5병],Erythema infectiosum [fifth disease]
B084,발진을 동반한 엔테로바이러스소수포구내염,Enteroviral vesicular stomatitis with exanthem
B085,엔테로바이러스소수포인두염,Enteroviral vesicular pharyngitis
B088,기타 명시된 피부 및 점막병변이 특징인 바이러스감염,Other specified viral infections characterized by skin and mucous membrane lesions
B09,피부 및 점막병변이 특징인 상세불명의 바이러스감염,Unspecified viral infection characterized by skin and mucous membrane lesions
B15,급성 A형간염,Acute hepatitis A
B150,간성 혼수가 있는 A형간염,Hepatitis A with hepatic coma
B159,간성 혼수가 없는 A형간염,Hepatitis A without hepatic coma
B16,급성 B형간염,Acute hepatitis B
B160,간성 혼수가 있는 델타-병원체(동시감염)를 가진 급성 B형간염,Acute hepatitis B with delta-agent(coinfection) with hepatic coma
B161,간성 혼수가 없는 델타-병원체(동시감염)를 가진 급성 B형간염,Acute hepatitis B with delta-agent(coinfection) without hepatic coma
B162,간성 혼수가 있고 델타-병원체가 없는 급성 B형간염,Acute hepatitis B without delta-agent with hepatic coma
B169,간성 혼수가 없고 델타-병원체도 없는 급성 B형간염,Acute hepatitis B without delta-agent and without hepatic coma
B17,기타 급성 바이러스간염,Other acute viral hepatitis
B170,만성 B형간염에서의 급성 델타(중복)감염,Acute delta-(super)infection in chronic hepatitis B
B171,급성 C형간염,Acute hepatitis C
B172,급성 E형간염,Acute hepatitis E
B178,기타 명시된 급성 바이러스간염,Other specified acute viral hepatitis
B179,상세불명의 급성 바이러스간염,"Acute viral hepatitis, unspecified"
B18,만성 바이러스간염,Chronic viral hepatitis
B180,델타-병원체가 있는 만성 바이러스B형간염,Chronic viral hepatitis B with delta-agent
B181,델타-병원체가 없는 만성 바이러스B형간염,Chronic viral hepatitis B without delta-agent
B182,만성 바이러스C형간염,Chronic viral hepatitis C
B188,기타 만성 바이러스간염,Other chronic viral hepatitis
B189,상세불명의 만성 바이러스간염,"Chronic viral hepatitis, unspecified"
B19,상세불명의 바이러스간염,Unspecified viral hepatitis
B190,간성 혼수가 있는 상세불명의 바이러스간염,Unspecified viral hepatitis with hepatic coma
B199,간성 혼수가 없는 상세불명의 바이러스간염,Unspecified viral hepatitis without hepatic coma
B20,감염성 및 기생충성 질환을 유발한 사람면역결핍바이러스병,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B200,마이코박테리아감염을 유발한 사람면역결핍바이러스병,HIV disease resulting in mycobacterial infection
B201,기타 세균감염을 유발한 사람면역결핍바이러스병,HIV disease resulting in other bacterial infections
B202,거대세포바이러스병을 유발한 사람면역결핍바이러스병,HIV disease resulting in cytomegaloviral disease
B203,기타 바이러스감염을 유발한 사람면역결핍바이러스병,HIV disease resulting in other viral infections
B204,칸디다증을 유발한 사람면역결핍바이러스병,HIV disease resulting in candidiasis
B205,기타 진균증을 유발한 사람면역결핍바이러스병,HIV disease resulting in other mycoses
B206,폐포자충폐렴을 유발한 사람면역결핍바이러스병,HIV disease resulting in Pneumocystis jirovecii pneumonia
B207,다발감염을 유발한 사람면역결핍바이러스병,HIV disease resulting in multiple infections
B208,기타 감염성 및 기생충성 질환을 유발한 사람면역결핍바이러스병,HIV disease resulting in other infectious and parasitic diseases
B209,상세불명의 감염성 또는 기생충성 질환을 유발한 사람면역결핍바이러스병,HIV disease resulting in unspecified infectious or parasitic disease
B21,악성 신생물을 유발한 사람면역결핍바이러스병,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B210,카포시육종을 유발한 사람면역결핍바이러스병,HIV disease resulting in Kaposi’s sarcoma
B211,버킷림프종을 유발한 사람면역결핍바이러스병,HIV disease resulting in Burkitt lymphoma
B212,기타 유형의 비호지킨림프종을 유발한 사람면역결핍바이러스병,HIV disease resulting in other types of non-Hodgkin lymphoma
B213,"림프성, 조혈성 및 관련 조직의 기타 악성 신생물을 유발한 사람면역결핍바이러스병","HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
B217,다발성 악성 신생물을 유발한 사람면역결핍바이러스병,HIV disease resulting in multiple malignant neoplasms
B218,기타 악성 신생물을 유발한 사람면역결핍바이러스병,HIV disease resulting in other malignant neoplasms
B219,상세불명의 악성 신생물을 유발한 사람면역결핍바이러스병,HIV disease resulting in unspecified malignant neoplasm
B22,기타 명시된 질환을 유발한 사람면역결핍바이러스병,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
B220,뇌병증을 유발한 사람면역결핍바이러스병,HIV disease resulting in encephalopathy
B221,림프성 간질폐렴을 유발한 사람면역결핍바이러스병,HIV disease resulting in lymphoid interstitial pneumonitis
B222,소모증후군을 유발한 사람면역결핍바이러스병,HIV disease resulting in wasting syndrome
B227,달리 분류된 다발성 질환을 유발한 사람면역결핍바이러스병,HIV disease resulting in multiple diseases classified elsewhere
B23,기타 병태를 유발한 사람면역결핍바이러스병,Human immunodeficiency virus [HIV] disease resulting in other conditions
B230,급성 사람면역결핍바이러스감염증후군,Acute HIV infection syndrome
B231,(지속성) 전신림프선병증을 유발한 사람면역결핍바이러스병,HIV disease resulting in (persistent) generalized lymphadenopathy
B232,달리 분류되지 않은 혈액학적 및 면역학적 이상을 유발한 사람면역결핍바이러스병,"HIV disease resulting in haematological and immunological abnormalities, NEC"
B238,기타 명시된 병태를 유발한 사람면역결핍바이러스병,HIV disease resulting in other specified conditions
B24,상세불명의 사람면역결핍바이러스병,Unspecified human immunodeficiency virus [HIV] disease
B25,거대세포바이러스병,Cytomegaloviral disease
B250,거대세포바이러스폐렴(J17.1*),Cytomegaloviral pneumonitis(J17.1*)
B251,거대세포바이러스간염(K77.0*),Cytomegaloviral hepatitis(K77.0*)
B252,거대세포바이러스췌장염(K87.1*),Cytomegaloviral pancreatitis(K87.1*)
B258,기타 거대세포바이러스병,Other cytomegaloviral diseases
B259,상세불명의 거대세포바이러스병,"Cytomegaloviral disease, unspecified"
B26,볼거리,Mumps
B260,볼거리고환염(N51.1*),Mumps orchitis(N51.1*)
B261,볼거리수막염(G02.0*),Mumps meningitis(G02.0*)
B262,볼거리뇌염(G05.1*),Mumps encephalitis(G05.1*)
B263,볼거리췌장염(K87.1*),Mumps pancreatitis(K87.1*)
B268,기타 합병증이 있는 볼거리,Mumps with other complication
B269,합병증 없는 볼거리,Mumps without complication
B27,감염성 단핵구증,Infectious mononucleosis
B270,감마헤르페스바이러스단핵구증,Gammaherpesviral mononucleosis
B271,거대세포바이러스단핵구증,Cytomegaloviral mononucleosis
B278,기타 감염성 단핵구증,Other infectious mononucleosis
B279,상세불명의 감염성 단핵구증,"Infectious mononucleosis, unspecified"
B30,바이러스결막염,Viral conjunctivitis
B300,아데노바이러스에 의한 각막결막염(H19.2*),Keratoconjunctivitis due to adenovirus(H19.2*)
B301,아데노바이러스에 의한 결막염(H13.1*),Conjunctivitis due to adenovirus(H13.1*)
B302,바이러스인두결막염,Viral pharyngoconjunctivitis
B303,급성 유행성 출혈성 결막염(엔테로바이러스)(H13.1*),Acute epidemic haemorrhagic conjunctivitis (enteroviral)(H13.1*)
B308,기타 바이러스결막염(H13.1*),Other viral conjunctivitis(H13.1*)
B309,상세불명의 바이러스결막염,"Viral conjunctivitis, unspecified"
B33,달리 분류되지 않은 기타 바이러스질환,"Other viral diseases, NEC"
